No Service,Tanggal Keluhan,Ket. Teknisi,Teknisi ,Deskripsi Pekerjaan (Maintanance),Divisi,Jenis pekerjaan,Lokasi,Foto Before,Tanggal Selesai,"Lead Time
(Hari)",Foto After
1,01/08/2024,Internal,Iwan,Atap gudang bumbu dan gudang tepung mentah bocor,Logistik,Infrastruktur,Gudang Cibeureum,,19/08/2024,18,
2,02/08/2024,Internal,Irawan,Lampu gudang Blast mati,Produksi,Elektronik,Produksi Ayam,,20/08/2024,18,
3,09/08/2024,External,Vendor,3 Timbangan merk sojikyo error,Produksi,Elektronik,Produksi Ayam,,21/08/2024,12,
4,09/08/2024,Internal,Dafa,Laptop Staf Stokis Keyboard Error dan Lemot,stokis,IT,Tamansari persada,,22/08/2024,13,
5,10/08/2024,Internal,Iwan,Slot mesin tepung 50kg patah,Logistik,Mesin,Gudang Cibeureum,,23/08/2024,13,
6,10/08/2024,Internal,Irawan,Lampu di area loading mati,Produksi,Elektronik,Produksi Ayam,,24/08/2024,14,
7,10/08/2024,Internal,Iwan,Pipa Vacum Thumbler terlepas dari mesin vacum,Produksi,Mesin,Produksi Ayam,,12/08/2024,2,
8,13/08/2024,Internal,Dafa,CCTV Gudang Cibereum Lama Lost Koneksi HP,Logistik,Elektronik,Gudang Cibeureum,,14/08/2024,1,
159,18/08/2024,Internal,Iyus," Pak minta tolong di bantu , Untuk pemasangan Terminal Listrik di Ruang miting Kemitraan ",Kemitraan,Instalasi Listrik,kemitraan,,29/10/2024,72,
9,19/08/2024,Internal,Iwan,Mesin Jahit Tepung Trouble,Logistik,Mesin,Gudang Cibeureum,,24/08/2024,5,
10,19/08/2024,Internal,Irawan,Rel gerbang depan gudang produksi amblas,Logistik,Infrastruktur,Gudang Cibeureum,,24/08/2024,5,
11,19/08/2024,Internal,Irawan,"Pemasangan CCTV (buat dudukan CCTV diatas, diruangan finance TSP)",Finance,Elektronik,Tamansari persada,,20/08/2024,1,
12,19/08/2024,Internal,Iyus,Pemasangan stop kontak disetiap meja karyawan Div.Finance,Finance,Infrastruktur,Tamansari persada,,02/09/2024,14,
13,19/08/2024,Internal,Iwan,Rel gerbang gudang tempat penyimpanan tepung mentah bengkok,Logistik,Infrastruktur,Gudang Cibeureum,,19/08/2024,0,
14,19/08/2024,Internal,Dafa, Printer Ruangan Event Promosi tidak berfungsi,Promosi & Event,Elektronik,Tamansari persada,,20/08/2024,1,
15,19/08/2024,Internal,Irawan,Kipas Angin tembok rusak,Logistik,Elektronik,Gudang Cibeureum,,,-,
16,19/08/2024,Internal,Iwan,Blower gudang tidak berfungsi,Logistik,Elektronik,Gudang Cibeureum,,17/09/2024,29,
17,19/08/2024,Internal,Iwan,stop kontak terbakar,Logistik,Elektronik,Gudang Cibeureum,,22/08/2024,3,
18,19/08/2024,Internal,Irawan,Tembok berlubang,Logistik,Infrastruktur,Gudang Cibeureum,,17/09/2024,29,
19,19/08/2024,Internal,Irawan,"Mesin produksi kapasitas 50 kg, trouble di bagian pully/panbelt",Logistik,Mesin,Gudang Cibeureum,,28/08/2024,9,
20,19/08/2024,Internal,Iwan,Bearing mesin parting rusak,Produksi,Mesin,Head Office,,20/08/2024,1,
21,19/08/2024,Internal,Irawan,2 unit exsos di dalam gudang produksi tidak menyala/Mati,Logistik,Elektronik,Gudang Cibeureum,,17/09/2024,29,
22,19/08/2024,Internal,Iyus,Tidak ada nya exsos di kamar mandi,Kemitraan,Elektronik,Tamansari persada,,26/08/2024,7,
23,19/08/2024,Internal,Iyus,Pemasangan gorden ruko kemitraan,Kemitraan,Infrastruktur,Tamansari persada,,21/08/2024,2,
24,19/08/2024,Internal,Iyus,Pemasangan lampu area tangga ruko kemitraan,Kemitraan,Elektronik,Tamansari persada,,22/08/2024,3,
25,19/08/2024,Internal,Dafa,Kerusakan charger laptop,Brand & Media,IT,Office IPB 2,,28/08/2024,9,
26,19/08/2024,Internal,Dafa,Wifi office depan kembali mengalami eror tidak ada data internet,Logistik,IT,Gudang Cibeureum,,20/08/2024,1,
27,19/08/2024,External,Vendor,Distokis lama pekanbaru Daya listrik belom diturun kan,stokis,Elektronik,Stokis Luar Kota,,26/08/2024,7,
28,19/08/2024,External,Vendor,Perbaikan bangunan bekas stokis pekanbaru,stokis,Infrastruktur,Stokis Luar Kota,,26/08/2024,7,
29,20/08/2024,Internal,Iwan,pipa air samping office belakang Cibereum mengalami kebocoran,Logistik,Infrastruktur,Gudang Cibeureum,,20/08/2024,0,
30,20/08/2024,Internal,Iwan,Pintu Office HO macet,Ekspedisi,Infrastruktur,Head Office,,20/08/2024,0,
31,20/08/2024,Internal,Dafa,Pemasangan router wifi di depan ruang Asset,Humas & Service,IT,Tamansari persada,,21/08/2024,1,
32,21/08/2024,Internal,Iwan,"Trouble Mesin Marinasi 50 kg, slot kunci patah",Logistik,Mesin,Gudang Cibeureum,,22/08/2024,1,
33,22/08/2024,Internal,Iwan,"Trouble Mesin Marinasi 100 kg, puly bagian bawah lepas",Logistik,Mesin,Gudang Cibeureum,,22/08/2024,0,
34,22/08/2024,Internal,Iwan," Engsel pada CS lama mengalami kendor pada baut, pada saat menutup mengalami macet",Logistik,Infrastruktur,Gudang Cibeureum,,22/08/2024,0,
35,22/08/2024,Internal,Iwan,Meminta jadwal plester pada area tersebut ,Logistik,Infrastruktur,Gudang Cibeureum,,31/08/2024,9,
36,22/08/2024,Internal,Iwan,Meminta jadwal plester pada area tersebut ,Logistik,Infrastruktur,Gudang Cibeureum,,24/08/2024,2,
37,22/08/2024,Internal,Irawan,Lampu PJU di area sekitar HO tiang rusak dan lampu mati,Humas & Service,Elektronik,Head Office,,06/09/2024,15,
38,22/08/2024,Internal,Iwan, renovasi / perbaikan rumah sinbad 2,Humas & Service,Infrastruktur,Sinbad 2,,26/08/2024,4,
39,22/08/2024,Internal,Irawan,renovasi / perbaikan troli kebutuhan buat bongkar muat barang,Ekspedisi,Infrastruktur,Head Office,,27/08/2024,5,
40,22/08/2024,Internal,Irawan," Colokan ke Mesin Absen IPB 1 rusak, setelah kemarin mati listrik",Finance,Elektronik,Office IPB1,,23/08/2024,1,
41,23/08/2024,Internal,Iwan,AC pada ruang meeting Cibereum 1 tidak dingin,Logistik,Elektronik,Gudang Cibeureum,,26/08/2024,3,
42,23/08/2024,Internal,Iyus,AC mengalami bocor,Kemitraan,Elektronik,Tamansari persada,,26/08/2024,3,
43,27/08/2024,Internal,Iwan,Tembok dan tiang pintu gerbang rusak ( tempat penyimpanan tepung dan bumbu ) tertabrak oleh mobil,Logistik,Infrastruktur,Gudang Cibeureum,,16/09/2024,20,
44,27/08/2024,External,Vendor,Freezer stokis pekanbaru tidak normal,stokis,Elektronik,Stokis Luar Kota,,,#NUM!,
45,27/08/2024,Internal,Iyus,Pemasangan kontak ruang HRD,HRD,Instalasi Listrik,Tamansari persada,,27/08/2024,0,
46,29/08/2024,Internal,Irawan,Pemasangan gagang pintu ruang manager logistik Cibereum 1,Logistik,Infrastruktur,Gudang Cibeureum,,30/08/2024,1,
47,29/08/2024,External,Vendor,meteran diruangan finance TSP keluar api dan asap,Finance,Elektronik,Tamansari persada,,,#NUM!,
48,29/08/2024,Internal,Iyus,Membuat slot kunci gudang OB TSP,Humas & Service,Infrastruktur,Tamansari persada,,29/08/2024,0,
49,30/08/2024,Internal,Dafa,"Laptop office gudang Cibereum, loading sangat lama lemot",Logistik,IT,Gudang Cibeureum,,30/08/2024,0,
50,30/08/2024,Internal,Irawan,Mohon untuk pengangkatan puing dan Kaca di gedung kemitraan,Kemitraan,Lingkungan,Tamansari persada,,31/08/2024,1,
51,31/08/2024,Internal,Iwan,kayu² bekas pengecoran dari pak edi minta di rapikan jangan di simpan di sini,Humas & Service,Lingkungan,Head Office,,01/09/2024,1,
52,02/09/2024,Internal,Iyus,ruangan Event Promosi dan Media apa bisa disediakan rak sendal atau sepatu sesuai dengan kebutuhan kami,Brand & Media,Lingkungan,Tamansari persada,,02/09/2024,0,
53,02/09/2024,Internal,Iyus,Minta tolong untuk pelepasan bangku² lipat yang ada di ruang kemitraan,Kemitraan,Infrastruktur,Tamansari persada,,03/09/2024,1,
54,02/09/2024,Internal,Iyus,"ruangan sales d TSP Ruko depan, bagian atap ini apa bisa ditutup agar bisa terlihat lebih rapih",Partnership & Support,Infrastruktur,Tamansari persada,,11/09/2024,9,
55,02/09/2024,Internal,Dafa, jaringan wifi d TSP Ruko mengalami gangguan dan terputus,Partnership & Support,IT,Tamansari persada,,02/09/2024,0,
56,02/09/2024,Internal,Iyus,Untuk area dapur dan kamar mandi ruko TSP ini apa bisa d tutup,Partnership & Support,Infrastruktur,Tamansari persada,,15/09/2024,13,
57,02/09/2024,Internal,Iwan,plafon lantai 2 Stokis cibinong copot,stokis,Infrastruktur,Stokis Cibinong,,,#NUM!,
58,02/09/2024,Internal,Iwan,Area gudang kering (Bumbu marinasi) H.O ada kebocoran dr atas atap menjalar ke dinding,Produksi,Infrastruktur,Head Office,,05/09/2024,3,
59,02/09/2024,Internal,Iwan,Terjadi kebocoran di gudang tempat penyimpanan tepung mentah dan plastik,Logistik,Infrastruktur,Gudang Cibeureum,,10/09/2024,8,
60,03/09/2024,Internal,Iwan,"mesin jahit Tidak menyala sama sekali, minta tolong perbaikannya",Logistik,Elektronik,Gudang Cibeureum,,03/09/2024,0,
61,03/09/2024,Internal,Irawan,*  Mohon dibantu pemasangan banner di bawah ac ruangan Finance TSP,Finance,Lingkungan,Tamansari persada,,04/09/2024,1,
62,03/09/2024,Internal,Iwan,"mesin marinasi kapasitas 50 kg, kapasitor terbakar",Logistik,Mesin,Gudang Cibeureum,,04/09/2024,1,
63,04/09/2024,Internal,Irawan,Merapihkan Instalasi Listrik,Direktur,Instalasi Listrik,Tamansari persada,,04/09/2024,0,
64,04/09/2024,Internal,Irawan,2 unit AC  Ruangan Stokis di TSP tidak dingin,stokis,Elektronik,Tamansari persada,,05/09/2024,1,
65,05/09/2024,Internal,Iwan,"Mesin marinasi kapasitas 100 kg,cakram otomatis lepas",Logistik,Mesin,Gudang Cibeureum,,06/09/2024,1,
66,05/09/2024,Internal,Iwan,"Mesin marinasi kapasitas 50 kg, mengeluarkan suara bising di bagian dinamo",Logistik,Mesin,Gudang Cibeureum,,06/09/2024,1,
67,05/09/2024,Internal,Dafa,Beberapa CCTV mati dan tidak merekam aktivitas area gudang cibereum,Logistik,IT,gudang cibeureum 2,,05/09/2024,0,
68,05/09/2024,Internal,Dafa,wifi gudang cibereum kurang koneksi ( lemot ) ,Logistik,IT,Gudang Cibeureum,,05/09/2024,0,
69,05/09/2024,Internal,Iyus,kamar mandi Tengah kantor TSP amblas lantainya pak,Humas & Service,Infrastruktur,Tamansari persada,,06/09/2024,1,
70,05/09/2024,Internal,Iyus,Minta tolong dipasangkan Banner dan stikcer untuk kantor kemitraan TSP,Kemitraan,Infrastruktur,Tamansari persada,,06/09/2024,1,
71,06/09/2024,Internal,Irawan," Coran gerbang besi nya sudah terlihat, minta di bantu perbaiki pak",Humas & Service,Infrastruktur,Tamansari persada,,07/09/2024,1,
72,06/09/2024,Internal,Irawan,"gerbang utama TSP lis nya ada yg copot pak, minta di perbaiki",Humas & Service,Infrastruktur,Tamansari persada,,28/09/2024,22,
73,08/09/2024,External,Vendor,"COOLSTORAGE lama kurang dingin angka suhu turun , berbeda dengan CS baru",Logistik,Mesin,gudang cibeureum 2,,16/09/2024,8,
74,09/09/2024,Internal,Iyus,minta tolong untuk pasang Whitebord di dua titik ini pak. Untuk pemasangan nya di ruang Brand Media,Brand & Media,Infrastruktur,Tamansari persada,,18/09/2024,9,
75,09/09/2024,Internal,Iwan,minta tolong untuk di cek stokis bogor keluhan ruko area basahan sejak tadi pagi listrik suka ngejepret,stokis,Elektronik,Stokis Bogor,,09/09/2024,0,
76,09/09/2024,Internal,Iyus,"Afwan, minta tolong untuk pasang Whitebord di ruang Event ya pak",Promosi & Event,Infrastruktur,Tamansari persada,,18/09/2024,9,
77,09/09/2024,Internal,Iyus,Dapur bocor sehingga lantai sangat licin dan freezer pun kehujanan (resiko rusak). Minta bantuannya untuk dilakukan pengecekan,Business Development,Infrastruktur,Tamansari persada,,15/09/2024,6,
78,10/09/2024,Internal,Iwan,minta tolong untuk di cek stokis Bekasi freezer tidak dingin,stokis,Elektronik,Tamansari persada,,16/09/2024,6,
79,11/09/2024,Internal,Vendor," freezer yg tidak terpakai distokis meruyung, menghalangi tim saat operasional, dan saat turun ayam dimalam hari, dan turun keringan tepung dihari ahad",stokis,Lingkungan,Stokis Meruyung,,13/09/2024,2,
80,11/09/2024,Internal,Iwan,"kran kamar mandi dibelakang gudang cibereum bocor, perlu di ganti krannya",Logistik,Infrastruktur,Gudang Cibeureum,,14/09/2024,3,
81,11/09/2024,Internal,Iyus,Plafon bocor di ruang brand-Media ( air netes setiap 9 detik ),Brand & Media,Infrastruktur,Tamansari persada,,20/09/2024,9,
82,12/09/2024,Internal,Iyus,Minta di bantu Instalasi colokan Listrik di ruangan admin Stokis TSP,stokis,Instalasi Listrik,Tamansari persada,,13/09/2024,1,
83,12/09/2024,Internal,Iyus,"Minta tolong d cek terkait jaringan wifi d tsp depan pada ruangan sales, sering mengalami gangguan",Kemitraan,IT,Tamansari persada,,12/09/2024,0,
84,13/09/2024,Internal,Iyus,Gypsum Partisi ruang admin lt.2 terbuka,Manufaktur,Infrastruktur,Tamansari persada,,14/09/2024,1,
85,14/09/2024,External,Vendor,"Mesin pompa air bocor, dan terus mengalir. Membuat area gudang tepung jadi ber-air dan lembab, risiko tepung kutuan",stokis,Mesin,Stokis Luar Kota,,16/09/2024,2,
86,14/09/2024,Internal,Vendor, timbangan produksi tepung eror minta di bantu perbaikannya,Logistik,Elektronik,Gudang Cibeureum,,18/09/2024,4,
87,14/09/2024,Internal,Vendor,Timbangan tidak bisa menyala sama sekali,Logistik,Elektronik,Gudang Cibeureum,,18/09/2024,4,
88,17/09/2024,Internal,Iyus,"Kaki freezer tim event patah, mau minta tolong dicekin",Marketing,Elektronik,Tamansari persada,,17/09/2024,0,
89,17/09/2024,Internal,Iyus,Bocor lumayan deras di gudang event,Marketing,Infrastruktur,Tamansari persada,,28/09/2024,11,
90,17/09/2024,Internal,Iwan,Mesin jahit tidak bisa di gunakan macet,Logistik,Mesin,Gudang Cibeureum,,17/09/2024,0,
91,19/09/2024,Internal,Iwan,Minta tolong bantu di kuras khawatir potensi DBD dan jadi sarang nyamuk,Logistik,Lingkungan,Gudang Cibeureum,,19/09/2024,0,
92,20/09/2024,Internal,Dafa,Dibantu untuk pengecekan Laptop Pak Wildan (Div.Finance) sering nyetrum dan loading parah (lola),Finance,IT,Office IPB1,,20/09/2024,0,
95,20/09/2024,Internal,Iwan,Pemasangan dudukan untuk proyektor di ruang meeting kecil cibereum,Logistik,Infrastruktur,Gudang Cibeureum,,25/09/2024,5,
136,20/09/2024,Internal,iyus Dan Fahmi ,Pembuatan jalur pembuangan toilet,Logistik,Infrastruktur,Gudang Cibeureum,,19/10/2024,29,
137,20/09/2024,Internal,Iwan,penggantian mesin dan pully,Logistik,Mesin,Gudang Cibeureum,,20/10/2024,30,
152,20/09/2024,Internal,Iwan,Pipa pembuangan  exsos mengalami kerusakan Mohon di bantu untuk perbaikan nya (Logistik),Produksi,Infrastruktur,Gudang Cibeureum,,28/10/2024,38,
97,23/09/2024,Internal,Iyus,Kran di kamar mandi dan kran yang di dapur (wastapel) belum terpasang(kantor finance),Finance,Infrastruktur,Kantor Finance BRP,,23/09/2024,0,
99,23/09/2024,Internal,Iwan,Mesin kapasitas 100 kg gir as nya lepas minta tolong di bantu perbaiki nya,Logistik,Mesin,Gudang Cibeureum,,23/09/2024,0,
158,24/09/2024,Internal,Iwan,pemasangan baru kipas angin di gudang ciberum,Produksi,Elektronik,Gudang Cibeureum,,29/10/2024,35,
102,25/09/2024,Internal,Iwan,-  Freezer 1 Bagian mesin sebelah kanan bunyi saat di nyalakan,stokis,Elektronik,Stokis Bogor,,27/09/2024,2,
103,25/09/2024,Internal,Iwan,"- Freezer 2 Kendala seal pintu tidak rapat saat di tutup, pendingin tidak maksimal saat di gunakan(indikator suhu mentok di -6°) serta di bagian dalam alumunium foilnya ada rembesan air",stokis,Elektronik,Stokis Bogor,,27/09/2024,2,
115,25/09/2024,Internal,Irawan,"ada puing"" dibelakang pos/samping kantor direksi TSP minta tolong dijadwalkan pak untuk di angkut",Humas & Service,Lingkungan,Tamansari persada,,05/10/2024,10,
116,26/09/2024,Internal,Iwan,"- Ada 6 titik penerangan yang lampunya meledak, redup dan mati
- 2 titik di kamar mandi office dan belakang
- 2 titik di dalam ruang office
- 2 titik di tempat penyimpanan area gudang tepung
- Minta di bantu untuk penerangannya pak",Logistik,Instalasi Listrik,Gudang Cibeureum,,30/09/2024,4,
116,26/09/2024,Internal,Iwan,"- Ada 6 titik penerangan yang lampunya meledak, redup dan mati
- 2 titik di kamar mandi office dan belakang
- 2 titik di dalam ruang office
- 2 titik di tempat penyimpanan area gudang tepung
- Minta di bantu untuk penerangannya pak",Logistik,Instalasi Listrik,Gudang Cibeureum,,30/09/2024,4,
107,27/09/2024,Internal,Irawan,"AC gudang cibereum bocor, netes",Logistik,Elektronik,Gudang Cibeureum,,28/09/2024,1,
118,27/09/2024,Internal,Vendor,Bocor area parkiran motor di TSP,Humas & Service,Infrastruktur,Tamansari persada,,05/10/2024,8,
119,28/09/2024,Internal,Iyus, tiang balon patah lagi.,Promosi & Event,Infrastruktur,Tamansari persada,,07/10/2024,9,
153,29/09/2024,Internal,Irawan,"Bismillah, mesin kapasitas 100 kg trabel di bagian cakram nya",Produksi,Mesin,Tamansari persada,,29/10/2024,30,
109,30/09/2024,Internal,Dafa, Internet tidak terkoneksi. Mohon bantuannya,Humas & Service,Elektronik,Tamansari persada,,01/10/2024,1,
111,30/09/2024,Internal,Iyus,Cctv BRP belum bisa diakses & 1 cctv belum terpasang,Finance,Elektronik,Kantor Finance BRP,,01/10/2024,1,
108,01/10/2024,Internal,Iyus,"stand tv gak bisa di diangkat, kayanya nyangkut di pipa nya, syukron pak.",Promosi & Event,Infrastruktur,Tamansari persada,,01/10/2024,0,
110,01/10/2024,Internal,Iwan,Mesin Marinasi produksi tepung ( 100 kg ) tidak bisa memutar. Mohon untuk segera di cek,Logistik,Mesin,Gudang Cibeureum,,01/10/2024,0,
112,02/10/2024,Internal,Iwan, Pintu gudang bahan baku kering perlu perbaikan (lepas dari rel & tidak bisa dikunci),Logistik,Infrastruktur,Gudang Cibeureum,,03/10/2024,1,
113,03/10/2024,Internal,Dafa,penggantian laptop baru ,Logistik,Elektronik,Gudang Cibeureum,,24/10/2024,21,
114,03/10/2024,Internal,Dafa,penggantian laptop baru ,Logistik,Elektronik,Gudang Cibeureum,,24/10/2024,21,
117,04/10/2024,Internal,Iyus,Area parkiran banjir karna saluran air yg di depan gerbang  mampet yg baru di cor. Jadi air masuk ke area parkir,Produksi,Infrastruktur,Head Office,,05/10/2024,1,
120,07/10/2024,Internal,Irawan,trobel mesin kapasitas 100kg gir as tidak muter tolong pak untuk perbaikannya,Logistik,Infrastruktur,Gudang Cibeureum,,09/10/2024,2,
124,07/10/2024,Internal,Vendor,kendala 1 freezer stokis bekasi uk 1200lt tercium bau sangit di bagian mesin,stokis,Elektronik,Stokis Bekasi,,13/10/2024,6,
121,08/10/2024,Internal,Dafa,"Body laptop bagian engsel patah, sehingga bagian engsel monitor lepas",Business Development,Elektronik,Tamansari persada,,09/10/2024,1,
122,08/10/2024,Internal,Iwan,"Office depan Cibereum, banjir air masuk, tolong bantu tinggikan tanggul nya pak , dan talang airnya copot ",Logistik,Infrastruktur,Gudang Cibeureum,,10/10/2024,2,
123,08/10/2024,Internal,Vendor,"- 1 titik Connector yg menyambung ke DVR rusak (perlu ganti connector)
- 2 titik kamera korslet, perlu ganti kamera baru  (indoor & outdoor) 
- Hardisk perlu ganti baru untuk bisa simpan & tracking data..
- Tetap bisa menyala untuk dipantau secara real-time tanpa hardisk
",stokis,Elektronik,Stokis Semarang,,13/10/2024,5,
138,08/10/2024,Internal,iwan dan irawan ,"Atap Fiber rusak dan lapuk , dan penggantian atap fiber baru",Logistik,Infrastruktur,gudang cibeureum 2,,23/10/2024,15,
139,10/10/2024,Internal,Irawan,pengisian preon ac di kemitraan ,Kemitraan,Perbaikan AC,kemitraan,,22/10/2024,12,
140,14/10/2024,Internal,iyus Dan Fahmi ,pemasangan slot dan gembok,Humas & Service,Infrastruktur,Tamansari persada,,21/10/2024,7,
125,15/10/2024,Internal,Dafa,Mesin finger print tidak terisi baterainya. Bantu dicek,Finance,Elektronik,Kantor Finance BRP,,15/10/2024,0,
141,16/10/2024,Internal,,"kursi patah, solusinya pengajuan baru atau bisa diperbaiki?",Asset,Infrastruktur,Tamansari persada,,16/10/2024,0,
126,17/10/2024,Internal,Irawan,"WiFi office depan error, kmren sempat di perbaiki pak Irawan dan bagus, skrng kembali eror tolong bantu di cek ",Logistik,Elektronik,Gudang Cibeureum,,17/10/2024,0,
127,17/10/2024,Internal,Irawan,"Bismillah, trobel mesin kapasitas 100 kg, spiral plat tengah nya lepas mohon untuk perbaikan nya pak",Logistik,Mesin,Gudang Cibeureum,,17/10/2024,0,
142,17/10/2024,Internal,Irawan,pengantian outdoor ac di ruang expedisi HO,Ekspedisi,Perbaikan AC,Head Office,,20/10/2024,3,
157,17/10/2024,Internal,Dafa, penggantian router,Business Development,IT,Tamansari persada,,29/10/2024,12,
128,18/10/2024,Internal,Dafa,"Afwan Pak, Minta tolong dicek printer di ruangan Marketing, hasil nya warna nya kurang bagus.",Business Development,Elektronik,Tamansari persada,,18/10/2024,0,
129,18/10/2024,Internal,Vendor,"Stokis Citayam info MCB nya ngjepret terus, konslet spertnya, saat ini 3 freezer mati",stokis,Instalasi Listrik,Stokis Citayeum,,18/10/2024,0,
130,18/10/2024,Internal,Dafa,"Printer eror, tidak bisa melakukan cetak",Business Development,Elektronik,Tamansari persada,,18/10/2024,0,
142,18/10/2024,Internal,iyus Dan Fahmi ,pencekan di ruang meeting kemitraan tapi tidak jadi di cat ulang ,Marketing,Infrastruktur,kemitraan,,21/10/2024,3,
155,18/10/2024,Internal,Iwan,Pembersihan puing di gudang ciberum,Produksi,Infrastruktur,Gudang Cibeureum,,29/10/2024,11,
131,21/10/2024,Internal,Dafa,"Pak minta tolong di bantu pak, laptop tidak ada lokal disk D , penyimpanan data D , ",Logistik,Elektronik,Gudang Cibeureum,,21/10/2024,0,
132,21/10/2024,Internal,Dafa,"Afwan pak, mau minta tolong untuk instal ulang laptop, karena pin login lupa tidak ada yang tau",Business Development,Elektronik,Tamansari persada,,22/10/2024,1,
133,21/10/2024,Internal,Dafa,"kang dafa Bisa di instal ulang lapotp ini,",Finance,Elektronik,Tamansari persada,,22/10/2024,1,
135,21/10/2024,Internal,Vendor,"Meteran Listrik di BRP terlihat Gosong, ada indikasi kebakar atau ngga ya, ",Finance,Instalasi Listrik,Kantor Finance BRP,,21/10/2024,0,
142,21/10/2024,Internal,iyus Dan Fahmi ,pembongkaran rak dan pemasangan kembali ke ruang media,Brand & Media,Infrastruktur,Tamansari persada,,21/10/2024,0,
134,22/10/2024,Internal,Rico,2 meja ini bantu disimpan di tim asset ya,Finance,Infrastruktur,Kantor Finance BRP,,22/10/2024,0,
198,22/10/2024,Internal,Iyus,pembuatan loket ,Asset,Infrastruktur,Tamansari persada,,11/11/2024,20,
143,24/10/2024,Internal,Fahmi ,perbaikan closet di kamar mandi tenangah di TSP,Humas & Service,Infrastruktur,Tamansari persada,,24/10/2024,0,
144,24/10/2024,Internal,Dafa,-  CCTV gudang cibereum 2 mati,Produksi,Infrastruktur,gudang cibeureum 2,,24/10/2024,0,
145,24/10/2024,Internal,Iyus,perbaikan/pengecekan kompor team event pematik 2 error dan cara penggunaan beda dari seperti yang normal nya.,Humas & Service,Elektronik,Tamansari persada,,24/10/2024,0,
146,24/10/2024,Internal,Irawan,perbaikan mesin steam di HO,Produksi,Mesin,Head Office,,24/10/2024,0,
156,24/10/2024,Internal,fahmi,setelah di cek sama tim aset untuk kursi jadi di ganti yang baru ,Asset,Infrastruktur,Tamansari persada,,29/10/2024,5,
192,24/10/2024,Internal,Iwan,pembuatan dudukan wifi,Produksi,Infrastruktur,Head Office,,07/11/2024,14,
231,24/10/2024,Internal,Iyus,perbaikan dispenser ruang media,Brand & Media,Elektronik,Tamansari persada,,22/11/2024,29,
