No Service,Tanggal Keluhan,Ket. Teknisi,Teknisi ,Deskripsi Pekerjaan (Maintanance),Divisi,Jenis pekerjaan,Lokasi,Foto Before,Tanggal Selesai,"Lead Time
147,25/10/2024,Internal,Irawan,pengelasan mesin 50 kg ,Produksi,Mesin,Gudang Cibeureum,,25/10/2024,0,
148,25/10/2024,Internal,Iyus,perbaikan pintu di kantor finance,Finance,Infrastruktur,Kantor Finance BRP,,26/10/2024,1,
160,25/10/2024,Internal,Iwan,Perbaikan pipa air,Produksi,Infrastruktur,Head Office,,30/10/2024,5,
168,25/10/2024,Internal,Iyus,pergantian mesin pompa aquarium,Humas & Service,Elektronik,Tamansari persada,,31/10/2024,6,
149,26/10/2024,Internal,Irawan,perbaikan ac di ciberum,Produksi,Perbaikan AC,Gudang Cibeureum,,26/10/2024,0,
150,26/10/2024,Internal,fahmi,Pintu Office HO macet,Ekspedisi,Infrastruktur,Head Office,,26/10/2024,0,
151,28/10/2024,Internal,Iyus, Afwan pak minta tolong untuk pemasangan rak dinding untuk office set up,Humas & Service,Infrastruktur,Tamansari persada,,28/10/2024,0,
154,28/10/2024,Internal,Dafa,"Afwan pak untuk printer admin tidak bisa ngeprint, tolong di cek ya",Humas & Service,Elektronik,Tamansari persada,,30/10/2024,2,
175,28/10/2024,Internal,Iwan,minta dibuatkan jembatan dari besi untuk jalan motor ke dalam kantor sinbad 4,Humas & Service,Infrastruktur,Sinbad 4,,04/11/2024,7,
178,28/10/2024,Internal,Dafa,perbaikan printer ,Produksi,IT,Gudang Cibeureum,,,#NUM!,
179,29/10/2024,Internal,Iyus,"Bantu untuk pemasangan lampu di ruangan arsip, untuk perlengkapan nya sudah ada di BRP",Finance,Instalasi Listrik,Kantor Finance BRP,,28/10/2024,#NUM!,
161,30/10/2024,Internal,Irawan,"Bismillah, TRABEL mesin 100 kg di bagian cakram nya",Produksi,Mesin,Gudang Cibeureum,,30/10/2024,0,
161,30/10/2024,Internal,Irawan,"Bismillah,kipas di gudang  produksi tepung mengeluarkan suara berisik",Produksi,Infrastruktur,Gudang Cibeureum,,30/10/2024,0,
162,30/10/2024,Internal,Irawan,"Afwan pak, minta tolong perbaikan whiteboard di ruangan office Manager cibereum kang",Produksi,Infrastruktur,Gudang Cibeureum,,30/10/2024,0,
163,30/10/2024,Internal,fahmi,pemasangan tirai di kemitraan ,Kemitraan,Infrastruktur,kemitraan,,30/10/2024,0,
164,30/10/2024,Internal,fahmi,pemasangan dudukan shower kawar mandi,Humas & Service,Infrastruktur,Tamansari persada,,30/10/2024,0,
165,30/10/2024,Internal,fahmi,pemasangan kabel HDMI di tsp ruangan dirops,Humas & Service,Infrastruktur,Tamansari persada,,30/10/2024,0,
166,30/10/2024,Internal,Irawan,penutupan lubang,Produksi,Infrastruktur,Gudang Cibeureum,,30/10/2024,0,
184,30/10/2024,Internal,Iwan,penggatian vanbelt,Produksi,Mesin,Head Office,,05/11/2024,6,
167,31/10/2024,Internal,fahmi,perakitan kursi,Humas & Service,Infrastruktur,Tamansari persada,,31/10/2024,0,
169,31/10/2024,Internal,Irawan,pergantian lampu di ruang Produksi,Produksi,Instalasi Listrik,Head Office,,31/10/2024,0,
170,31/10/2024,Internal,Iyus,perbaikan kaki kursi,Asset,Infrastruktur,Tamansari persada,,31/10/2024,0,
171,31/10/2024,Internal,Iwan,perbaikan dan pengelasan pintu gerbang di HO,Produksi,Infrastruktur,Head Office,,31/10/2024,0,
171,01/11/2024,Internal,Iyus,perbaikan ac ,Humas & Service,Perbaikan AC,Tamansari persada,,01/11/2024,0,
172,01/11/2024,Internal,Iyus,perbaikan bocor,Finance,Infrastruktur,Kantor Finance BRP,,01/11/2024,0,
173,01/11/2024,Internal,Irawan,perbaikan mesin tepung 50 kg ,Logistik,Mesin,Gudang Cibeureum,,01/11/2024,0,
174,01/11/2024,Internal,Irawan,perbaikan mesin tepung  100 kg ,Logistik,Mesin,Gudang Cibeureum,,01/11/2024,0,
176,04/11/2024,Internal,Iwan,perbaikan mesin ,Logistik,Mesin,Gudang Cibeureum,,04/11/2024,0,
177,04/11/2024,Internal,Dafa,perbaikan mouse,Brand & Media,IT,Tamansari persada,,04/11/2024,0,
180,5/11/2024,Internal,Iwan,"Afwan pak jalur tangga kantor HO Atapnya Bocor/rembes,lantainya jadi licin khawatir ada yang terpeleset, minta tolong di cek dan diperbaiki pak,Syukran Barakallahu fikum",Produksi,Infrastruktur,Head Office,,05/11/2024,0,
181,5/11/2024,Internal,Iwan,"engsel pintu utama (gerbang) gudang baru Cibereum patah pak , sehingga proses tutup dan buka cukup berat ,",Logistik,Infrastruktur,Head Office,,05/11/2024,0,
182,5/11/2024,Internal,Dafa,pembersihan head,Kemitraan,IT,kemitraan,,05/11/2024,0,
183,5/11/2024,Internal,Iyus,pemasangan benner,Finance,Infrastruktur,Kantor Finance BRP,,05/11/2024,0,
185,5/11/2024,Internal,Iyus,penutupan jendela ruang finance tsp,Asset,Infrastruktur,Tamansari persada,,05/11/2024,0,
219,05/11/2024,Internal,Iyus,pembuatan skat ,Finance,Infrastruktur,Kantor Finance BRP,,19/11/2024,14,
186,6/11/2024,Internal,Irawan,pengelasan timbangan ,Produksi,Mesin,Head Office,,06/11/2024,0,
187,6/11/2024,Internal,Irawan,perbaikan ac di media,Brand & Media,Perbaikan AC,Tamansari persada,,06/11/2024,0,
188,6/11/2024,Internal,Iyus,perbaikan saluran dan perbaikan yang bocor ,Direktur,Infrastruktur,Tamansari persada,,06/11/2024,0,
197,06/11/2024,Internal,Iyus,perbaikan yang bocor di ruang  dirut,Direktur,Infrastruktur,Tamansari persada,,08/11/2024,2,
200,06/11/2024,Internal,Iyus,perbaikan plafon,Direktur,Infrastruktur,Tamansari persada,,10/11/2024,4,
189,7/11/2024,Internal,Iwan,pemasangan tirai ,Produksi,Infrastruktur,Head Office,,07/11/2024,0,
190,7/11/2024,Internal,Iwan,pemasangan lampu di dirut,Direktur,Infrastruktur,Sinbad 4,,07/11/2024,0,
191,7/11/2024,Internal,Iwan,perbaikan yang bocor di kantor dirut,Direktur,Infrastruktur,Sinbad 4,,07/11/2024,0,
193,08/11/2024,Internal,Iwan,perbaikan plang,Produksi,Infrastruktur,Head Office,,08/11/2024,0,
194,08/11/2024,Internal,Iwan,pembersihan hexos,Direktur,Infrastruktur,Sinbad 4,,08/11/2024,0,
195,08/11/2024,Internal,Irawan,perbaikan mesin 50 kg ,Produksi,Mesin,Gudang Cibeureum,,08/11/2024,0,
196,08/11/2024,Internal,Irawan,perbaikan mesin 100 kg ,Produksi,Mesin,Gudang Cibeureum,,08/11/2024,0,
201,09/11/2024,Internal,Irawan,perbaikan yang bocor,Produksi,Infrastruktur,Head Office,,10/11/2024,1,
199,10/11/2024,Internal,Iyus,perbaikan kursi,Asset,Infrastruktur,Tamansari persada,,10/11/2024,0,
202,10/11/2024,Internal,Iwan,penggantian atap yang terbawa angin ,Produksi,Infrastruktur,Gudang Cibeureum,,12/11/2024,2,
206,11/11/2024,Internal,Irawan,perbaikan yang bocor di ciberum,Produksi,Infrastruktur,Gudang Cibeureum,,12/11/2024,1,
203,12/11/2024,Internal,Dafa,laptop lemot,Partnership & Support,IT,Tamansari persada,,12/11/2024,0,
204,12/11/2024,Internal,Iwan,fwan pak untuk perbaikan yg bocor kemaren masih bocor,Humas & Service,Infrastruktur,Sinbad 4,,12/11/2024,0,
205,12/11/2024,Internal,Iwan,pemasangan pisau parting,Produksi,Mesin,Head Office,,12/11/2024,0,
207,12/11/2024,Internal,Irawan,perbaikan dan pemasangan cctv,Produksi,IT,Gudang Cibeureum,,12/11/2024,0,
213,12/11/2024,Internal,Iyus,perbaikan bocor di BRP,Finance,Infrastruktur,Kantor Finance BRP,,13/11/2024,1,
208,13/11/2024,Internal,Irawan,perbaikan mesin 100 kg ,Produksi,Mesin,Gudang Cibeureum,,13/11/2024,0,
209,13/11/2024,Internal,Iyus,penutupan bocor ruang meeting besar,Humas & Service,Infrastruktur,Tamansari persada,,13/11/2024,0,
210,13/11/2024,Internal,Iyus,penutupan bocor ruang ,Humas & Service,Infrastruktur,Tamansari persada,,13/11/2024,0,
211,13/11/2024,Internal,Iwan,penggantian  vanbelt mesin jahit karung  ,Produksi,Mesin,Head Office,,13/11/2024,0,
212,14/11/2024,Internal,Irawan,perbaikan pintu ,Produksi,Infrastruktur,Head Office,,14/11/2024,0,
214,14/11/2024,Internal,Iwan,pemasangan kipas di stokis cibungbulang,stokis,Infrastruktur,Stokis Bogor,,14/11/2024,0,
215,14/11/2024,Internal,Dafa,pembersihan printer di ruangan admin,Humas & Service,IT,Tamansari persada,,14/11/2024,0,
216,16/11/2024,Internal,Iwan,perbaikan yang bocor ,Produksi,Infrastruktur,Gudang Cibeureum,,17/11/2024,1,
217,16/11/2024,Internal,Iwan,perbaikan mesin 50 kg ,Produksi,Mesin,Gudang Cibeureum,,17/11/2024,1,
218,17/11/2024,Internal,Iwan,pergantian silinder kunci ,Logistik,Infrastruktur,Gudang Cibeureum,,17/11/2024,0,
220,19/11/2024,Internal,Iwan,perbaikan kursi ,Logistik,Infrastruktur,Gudang Cibeureum,,19/11/2024,0,
221,19/11/2024,Internal,Iwan,perbaikan lampu ,Produksi,Infrastruktur,Head Office,,19/11/2024,0,
222,19/11/2024,Internal,Irawan,perbaikan ac ruang SM,Humas & Service,Perbaikan AC,Tamansari persada,,19/11/2024,0,
223,19/11/2024,Internal,Irawan,perbaikan ac ruang humas,Humas & Service,Perbaikan AC,Tamansari persada,,19/11/2024,0,
224,19/11/2024,Internal,Irawan,perbaikan yang bocor ,Logistik,Infrastruktur,Gudang Cibeureum,,20/11/2024,1,
225,19/11/2024,Internal,Iyus,perbaikan yang bocor ,Humas & Service,Infrastruktur,Tamansari persada,,20/11/2024,1,
226,20/11/2024,Internal,Irawan,perbaikan mesin ,Logistik,Mesin,Gudang Cibeureum,,20/11/2024,0,
227,21/11/2024,Internal,fahmi,pembersihan lahan parkir HO,Produksi,Infrastruktur,Head Office,,21/11/2024,0,
228,21/11/2024,Internal,Iwan,pembersihan solokan ,Logistik,Infrastruktur,Gudang Cibeureum,,21/11/2024,0,
229,21/11/2024,Internal,Irawan,perbaikan mesin tepung 50 kg,Humas & Service,Infrastruktur,Gudang Cibeureum,,21/11/2024,0,
230,21/11/2024,Internal,Iyus,perbaikan yang bocor di ruang interviwe,Humas & Service,Infrastruktur,Tamansari persada,,21/11/2024,0,
232,04/11/2024,Internal,Iyus,perbaikan dispenser ruang set up,Logistik,Elektronik,Tamansari persada,,22/11/2024,18,
233,22/11/2024,Internal,Iwan,pembuatan panel ,Finance,Instalasi Listrik,Kantor Finance BRP,,22/11/2024,0,
234,23/11/2024,Internal,Iyus,penutupan terepal untuk pemasangan skat,Produksi,Infrastruktur,Head Office,,23/11/2024,0,
235,23/11/2024,Internal,Irawan,perbaikan pintu kamar mandi ,Produksi,Infrastruktur,Head Office,,23/11/2024,0,
236,14/11/2024,Internal,Iyus,perbaikan dan pengelasan plang ,Promosi & Event,Infrastruktur,Tamansari persada,,25/11/2024,11,
237,05/11/2024,Internal,Irawan,Sudah dicek oleh teknisi harus di las dan menunggu kabel las an ,Produksi,Infrastruktur,Gudang Cibeureum,,28/11/2024,23,
238,05/11/2024,Internal,Iyus,Bocor dipojokan ruangan development dan juga kebocoran didapur RnD,Promosi & Event,Infrastruktur,Tamansari persada,,26/11/2024,21,
239,15/11/2024,Internal,Iyus,pemasangan meja loket ,Asset,Infrastruktur,Tamansari persada,,30/11/2024,15,
240,22/11/2024,Internal,Iwan,perbaikan yang bocor ,Produksi,Infrastruktur,Gudang Cibeureum,,26/11/2024,4,
241,25/11/2024,Internal,Irawan,pemasangan lampu di Ho,Produksi,Infrastruktur,Head Office,,25/11/2024,0,
242,26/11/2024,Internal,Irawan,perbaikan mesin 50 kg ,Produksi,Mesin,Gudang Cibeureum,,26/11/2024,0,
243,22/10/2024,External,Vendor,info pendingin ruang blast bermasalah sehingga kondisi barang dalam proses pembekuan tidak beku secara maksimal dan kondisi barang masih fresh  dibutuhkan pengecekan kerusakan mesin evap dan perbaikan nya,Produksi,Mesin,Head Office,,26/11/2024,35,
245,25/11/2024,Internal,Iyus,pemasangan neon box ,Finance,Infrastruktur,Kantor Finance BRP,,28/11/2024,3,
246,28/11/2024,Internal,Iwan,pelubangan meja marinasi ,Produksi,Infrastruktur,Head Office,,28/11/2024,0,
247,29/11/2024,Internal,Iyus,pemasangan stop kontak WIFI Kantor BRP,Finance,Instalasi Listrik,Kantor Finance BRP,,29/11/2024,0,
248,30/11/2024,Internal,Iwan,pemasangan intalasi listrik,Logistik,Instalasi Listrik,Head Office,,30/11/2024,0,
249,02/12/2024,Internal,fahmi,tarikan nya patah ,Promosi & Event,Elektronik,Tamansari persada,,02/12/2024,0,
250,02/12/2024,Internal,Iyus,perbaikan rel pintu ,Asset,Infrastruktur,Tamansari persada,,02/12/2024,0,
251,03/12/2024,Internal,Irawan,penutupan pintu  di HO,Logistik,Infrastruktur,Head Office,,03/12/2024,0,
252,04/12/2024,Internal,Irawan,pengelasan troli,Logistik,Infrastruktur,Head Office,,04/12/2024,0,
253,05/12/2024,Internal,Iwan,pemasangan papan jalan di HO,Logistik,Infrastruktur,Head Office,,05/12/2024,0,
254,05/12/2024,Internal,Irawan,pemasangan listrik di kantor TSP di ruang meeting kecil ,Humas & Service,Instalasi Listrik,Tamansari persada,,05/12/2024,0,
255,05/12/2024,Internal,Irawan,perbaikan pintu ,Kemitraan,Infrastruktur,Tamansari persada,,05/12/2024,0,
256,06/12/2024,Internal,Iwan,pemasangan pipa ,Produksi,Infrastruktur,Head Office,,06/12/2024,0,
257,06/12/2024,Internal,Iyus,pergantian kran air ,Humas & Service,Infrastruktur,Tamansari persada,,06/12/2024,0,
258,06/12/2024,Internal,Iyus,perbaikan cctv,Produksi,Elektronik,Head Office,,06/12/2024,0,
259,07/12/2024,Internal,Iwan,perbaikan listrik di gudang ciberum ,Produksi,Instalasi Listrik,Gudang Cibeureum,,07/12/2024,0,
260,08/12/2024,Internal,Iyus,perbaikan yang bocor ,Produksi,Infrastruktur,Gudang Cibeureum,,08/12/2024,0,
261,09/12/2024,Internal,Iwan,perbaikan mesin steam ,Produksi,Mesin,Head Office,,09/12/2024,0,
262,04/11/2024,Internal,Iwan,Renovasi dan perapihan kantor IPB 1,Humas & Service,Infrastruktur,Office IPB1,,10/12/2024,36,
263,10/01/2025,Internal,Iyus,perbaikan yang bocor ,Finance,Infrastruktur,Kantor Finance BRP,,10/12/2024,#NUM!,
264,09/01/2025,Internal,Iwan,perbaikan mesin tumbler,Produksi,Mesin,Head Office,,11/12/2024,#NUM!,
265,12/12/2024,Internal,Iyus,pemasangan gpsyum,Finance,Infrastruktur,Tamansari persada,,12/12/2024,0,
266,12/12/2024,Internal,Iyus,pemasangan gpsyum,Produksi,Mesin,Gudang Cibeureum,,12/12/2024,0,
267,13/12/2024,Internal,Iwan,pengelasan meja marinasi ,Produksi,Infrastruktur,Head Office,,13/12/2024,0,
268,13/12/2024,Internal,Iyus,perpihan rak di kantor tsp ,Humas & Service,Infrastruktur,Tamansari persada,,13/12/2024,0,
269,13/12/2024,Internal,Iyus,perbaikan yang bocor ,Humas & Service,Infrastruktur,Tamansari persada,,13/12/2024,0,
270,13/12/2024,Internal,Iyus,perakitan kursi,Humas & Service,Infrastruktur,Tamansari persada,,13/12/2024,0,
271,14/12/2024,Internal,Iwan,perbaikan saklar ,Produksi,Instalasi Listrik,Gudang Cibeureum,,14/12/2024,0,
272,15/12/2024,Internal,Irawan,perbaikan mesin 100 kg ,Produksi,Mesin,Gudang Cibeureum,,15/12/2024,0,
273,15/12/2024,Internal,Irawan,perbaikan mesin ac ,Produksi,Mesin,Head Office,,15/12/2024,0,
274,16/12/2024,Internal,Iyus,pengecetan pintu ,Humas & Service,Mesin,Tamansari persada,,16/12/2024,0,
275,16/12/2024,Internal,Iwan,pergantian saklar mesin parting,Produksi,Mesin,Head Office,,16/12/2024,0,
276,16/12/2024,Internal,Iwan,pengelasan meja marinasi ,Produksi,Mesin,Head Office,,16/12/2024,0,
277,17/12/2024,Internal,Iwan,pengelasan pagar ,Produksi,Mesin,kemitraan,,17/12/2024,0,
278,17/12/2024,Internal,Iyus,pemasangan pintu ,Humas & Service,Infrastruktur,Tamansari persada,,17/12/2024,0,
279,17/12/2024,Internal,Iwan,perbaikan yang bocor ,Produksi,Infrastruktur,Gudang Cibeureum,,17/12/2024,0,
280,18/12/2024,Internal,Iyus,pengecetan plafon,Humas & Service,Infrastruktur,Tamansari persada,,18/12/2024,0,
281,18/12/2024,Internal,Iyus,pemasangan handle pintu ,Finance,Infrastruktur,Kantor Finance BRP,,18/12/2024,0,
282,18/12/2024,Internal,Iyus,pengecetan plafon,Humas & Service,Infrastruktur,Tamansari persada,,18/12/2024,0,
283,19/12/2024,Internal,Iwan,perbaikan mesin marinasi ,Produksi,Mesin,Head Office,,19/12/2024,0,
284,19/12/2024,Internal,Iwan,perbaikan mesin tepug ,Logistik,Mesin,Gudang Cibeureum,,19/12/2024,0,
285,19/12/2024,Internal,Iyus,pencucian ac,Humas & Service,Infrastruktur,Sinbad 4,,19/12/2024,0,
286,20/12/2024,Internal,Iyus,perbaikan yang bocor ,Humas & Service,Infrastruktur,Tamansari persada,,20/12/2024,0,
287,20/12/2024,Internal,Iwan,perbaikan 3 mesin tepung ,Logistik,Mesin,Gudang Cibeureum,,20/12/2024,0,
288,20/12/2024,Internal,Iwan,pengelasan ,Produksi,Mesin,Head Office,,20/12/2024,0,
289,21/12/2024,Internal,Irawan,pengomponan,Produksi,Infrastruktur,Gudang Cibeureum,,21/12/2024,0,
290,22/12/2024,Internal,Iyus,pemasangan  lubang hexsos,Humas & Service,Infrastruktur,Tamansari persada,,22/12/2024,0,
291,23/12/2024,Internal,Iwan,perbaikan ac,Produksi,Mesin,Gudang Cibeureum,,23/12/2024,0,
292,23/12/2024,Internal,Iwan,perbaikan pintu gerbang ,Produksi,Infrastruktur,Gudang Cibeureum,,23/12/2024,0,
293,24/12/2024,Internal,Iyus,pemasangan hexsos ,Humas & Service,Infrastruktur,Tamansari persada,,24/12/2024,0,
294,24/12/2024,Internal,Iyus,perbaikan lampu tembak,set up,Infrastruktur,Tamansari persada,,24/12/2024,0,
295,25/12/2024,Internal,Iwan,perakitan panel,Humas & Service,Instalasi Listrik,Tamansari persada,,25/12/2024,0,
296,26/12/2024,Internal,Iyus,pemasangan temoat sabun ,Humas & Service,Infrastruktur,Tamansari persada,,26/12/2024,0,
297,27/12/2024,Internal,Irawan,perbaikan skalar listri mesin tepung ,Produksi,Infrastruktur,Gudang Cibeureum,,27/12/2024,0,
298,27/12/2024,Internal,Iwan,perbaikan pagar,Humas & Service,Infrastruktur,Office IPB1,,27/12/2024,0,
399,27/12/2024,Internal,Iwan,perbaikan pagar,Produksi,Mesin,Gudang Cibeureum,,27/12/2024,0,
300,28/12/2024,Internal,Iwan,pergantian lampu di ruang Produksi,Produksi,Instalasi Listrik,Head Office,,28/12/2024,0,
301,28/12/2024,Internal,Iyus,pemasangan kabel HDMI ,Finance,Instalasi Listrik,Kantor Finance BRP,,28/12/2024,0,
302,29/12/2024,Internal,Irawan,pembongkaran mesin tepung ,Produksi,Mesin,Gudang Cibeureum,,29/12/2024,0,
303,30/12/2024,Internal,Iwan,perbaikan mesin,Produksi,Mesin,Gudang Cibeureum,,30/12/2024,0,
304,30/12/2024,Internal,Iyus,pembalan parkiran ,Humas & Service,Infrastruktur,Tamansari persada,,30/12/2024,0,
305,30/12/2024,Internal,Irawan,perbaikan ac,Kemitraan,Infrastruktur,Tamansari persada,,30/12/2024,0,
306,31/12/2024,Internal,Irawan,perbaikan dispenser,Produksi,Infrastruktur,Gudang Cibeureum,,31/12/2024,0,
307,31/12/2024,Internal,Irawan,perbaikan cctv,Produksi,IT,Gudang Cibeureum,,31/12/2024,0,
308,31/12/2024,Internal,Iyus,pemasangan brangkas,Humas & Service,Infrastruktur,Tamansari persada,,31/12/2024,0,
309,1/1/2025,Internal,Iyus,perbaikan jahit karung ,Produksi,Elektronik,Head Office,,1/1/2025,0,
310,1/1/2025,Internal,Iyus,perbaikan timbangan ,Produksi,Elektronik,Head Office,,1/1/2025,0,
311,1/1/2025,Internal,Iyus,perbaikan kipas angin ,Produksi,Elektronik,Head Office,,1/1/2025,0,
312,2/1/2025,Internal,Irawan,perbaikan mesin 5 kg,Produksi,Mesin,Gudang Cibeureum,,2/1/2025,0,
313,2/1/2025,Internal,Iyus,perbaikan kursi ,Business Development,Infrastruktur,Tamansari persada,,2/1/2025,0,
314,2/1/2025,Internal,Iyus,perbaikan stop kontak RND,Promosi & Event,Instalasi Listrik,Tamansari persada,,2/1/2025,0,
315,3/1/2025,Internal,Iyus,Sudah 2 hari ini mcb di meteran turun (ngejepret),Finance,Instalasi Listrik,Kantor Finance BRP,,3/1/2025,0,
316,3/1/2025,Internal,Iyus,"Dibantu ya untuk ditutup, plafon kamar mandi ruang tengah lantai atas",Finance,Infrastruktur,Kantor Finance BRP,,3/1/2025,0,
317,3/1/2025,Internal,Iyus,AC di atas tidak dingin,Finance,Infrastruktur,Kantor Finance BRP,,3/1/2025,0,
318,3/1/2025,Internal,Irawan,perbaikkan mesin tepung ,Produksi,Mesin,Gudang Cibeureum,,4/1/2025,1,
318,3/1/2025,Internal,Irawan,perbaikkan mesin tepung ,Produksi,Mesin,Gudang Cibeureum,,4/1/2025,1,
320,29/12/2024,Internal,Iwan,cakram otomatis nya sudah haus harus di lalukan pergantian baru ,Produksi,Mesin,Gudang Cibeureum,,5/1/2025,7,
321,3/1/2025,Internal,Iyus,penambalan keramik  di seluruh toilet kantor tsp ,Humas & Service,Infrastruktur,Tamansari persada,,5/1/2025,2,
322,6/1/2025,Internal,Irawan,pengelasan dudukan mesin ,Produksi,Mesin,Head Office,,6/1/2025,0,
323,7/1/2025,Internal,Iwan,perbaikan pintu ,Produksi,Infrastruktur,Gudang Cibeureum,,7/1/2025,0,
324,7/1/2025,Internal,Iyus,perbaikan tiang marinasi ,Promosi & Event,Infrastruktur,Tamansari persada,,7/1/2025,0,
325,7/1/2025,Internal,Iyus,perbaikan gerobak event,Promosi & Event,Infrastruktur,Tamansari persada,,7/1/2025,0,
326,7/1/2025,Internal,Iyus,perbaikan kursi ,Finance,Infrastruktur,Tamansari persada,,7/1/2025,0,
327,7/1/2025,Internal,Irawan,pengelas troli ,Produksi,Infrastruktur,Head Office,,7/1/2025,0,
328,7/1/2025,Internal,Iyus,perbaikan troli,Promosi & Event,Infrastruktur,Tamansari persada,,7/1/2025,0,
329,8/1/2025,Internal,Iwan,perbaikan timbangan ,Produksi,Elektronik,Head Office,,8/1/2025,0,
330,8/1/2025,Internal,Iyus,pengelasan pagar ,Humas & Service,Infrastruktur,Tamansari persada,,8/1/2025,0,
331,3/1/2025,Internal,Irawan,pergantian lampu di ruang Produksi,Produksi,Infrastruktur,Gudang Cibeureum,,8/1/2025,5,
332,8/1/2025,Internal,Irawan,pengisian oli ,Produksi,Infrastruktur,Gudang Cibeureum,,8/1/2025,0,
333,9/1/2025,Internal,Irawan,pergantian lampu ,Produksi,Infrastruktur,Gudang Cibeureum,,9/1/2025,0,
334,9/1/2025,Internal,Iyus,perbaikan ac,Humas & Service,Infrastruktur,Tamansari persada,,9/1/2025,0,
335,9/1/2025,Internal,Iwan,pemasangan lantai blas,Produksi,Infrastruktur,Head Office,,11/1/2025,2,
336,10/1/2025,Internal,Iyus,perbaikan benner di kemitraan ,Kemitraan,Infrastruktur,Tamansari persada,,10/1/2025,0,
337,11/1/2025,Internal,Iwan,pemasangan pintu sleding,HRD,Infrastruktur,Tamansari persada,,11/1/2025,0,
338,11/1/2025,Internal,Iyus,perbaikan ac yang bocor ,Humas & Service,Infrastruktur,Tamansari persada,,11/1/2025,0,
339,11/1/2025,Internal,Iyus,perbaikan gerbang di kantor tsp ,Humas & Service,Infrastruktur,Tamansari persada,,11/1/2025,0,
340,12/1/2025,Internal,Irawan,perbaikan lantai blas di ho,Produksi,Infrastruktur,Head Office,,12/1/2025,0,
341,13/1/2025,Internal,Iyus,perbaikan keramik ,Humas & Service,Infrastruktur,Tamansari persada,,13/1/2025,0,
342,13/1/2025,Internal,Iyus,perbaikan mesin tepung ,Produksi,Mesin,Gudang Cibeureum,,13/1/2025,0,
343,14/1/2025,Internal,Iwan,perbaikan mesin tepung ,Produksi,Mesin,Gudang Cibeureum,,14/1/2025,0,
344,14/1/2025,Internal,Irawan,perbaikan lantai keramik,Produksi,Infrastruktur,Gudang Cibeureum,,14/1/2025,0,
345,15/1/2025,Internal,Iwan,perbaikan mesin ,Produksi,Mesin,Gudang Cibeureum,,15/1/2025,0,
346,15/1/2025,Internal,Iyus,perbaikan pintu kamar  mandi ,Humas & Service,Infrastruktur,Tamansari persada,,15/1/2025,0,
347,16/1/2025,Internal,Iyus,perbaikan gerbang di kantor brp,Finance,Infrastruktur,Kantor Finance BRP,,16/1/2025,0,
348,16/1/2025,Internal,Iyus,perbaikan pintu ,Humas & Service,Infrastruktur,Tamansari persada,,16/1/2025,0,
349,16/1/2025,Internal,Iyus,perbaikan pintu ,Humas & Service,Infrastruktur,Tamansari persada,,16/1/2025,0,
350,17/1/2025,Internal,Iyus,perbaikan pintu ,Humas & Service,Infrastruktur,Tamansari persada,,17/1/2025,0,
351,17/1/2025,Internal,Irawan,perbaikan mesin ,Produksi,Mesin,Gudang Cibeureum,,17/1/2025,0,
352,17/1/2025,Internal,Iwan,perbaikan kipas angin ,Produksi,Mesin,Head Office,,17/1/2025,0,
353,17/1/2025,Internal,Iyus,pemasangan skat HRD,HRD,Infrastruktur,Tamansari persada,,17/1/2025,0,
