No Service,Tanggal Keluhan,Ket. Teknisi,Teknisi ,Deskripsi Pekerjaan (Maintanance),Divisi,Jenis pekerjaan,Lokasi,Foto Before,Tanggal Selesai,"Lead Time
547,27/02/2025,Internal,Iyus,perbaikan cctv ,DIREKTUR,Elektronik,Tamansari persada,,27/02/2025,,
548,27/02/2025,Internal,Iyus,pembutaan skat ruang admin ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,27/02/2025,,
549,27/02/2025,Internal,Irawan,pembersihan saluran air ,POULTRY,Infrastruktur,Gudang Cibeureum,,27/02/2025,,
550,27/02/2025,Internal,Irawan,perbaikan cctv ,POULTRY,Infrastruktur,Gudang Cibeureum,,27/02/2025,,
551,28/02/2025,Internal,Irawan,perbaikan cctv bersama tim IT,POULTRY,Infrastruktur,Gudang Cibeureum,,28/02/2025,,
552,28/02/2025,Internal,Iyus,pemasangan ppan tulis ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/02/2025,,
553,28/02/2025,Internal,Iyus,pemasangan toilet ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,28/02/2025,,
554,28/02/2025,Internal,Iwan,pembuangan puing ,GENERAL AFFAIR,Infrastruktur,Gudang Cibeureum,,28/02/2025,,
556,01/03/2025,Internal,Irawan,pergantian MCB ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,01/03/2025,,
555,01/03/2025,Internal,Irawan,perbaikan mesin ,POULTRY,Mesin,Gudang Cibeureum,,01/03/2025,,
557,02/03/2025,Internal,Iyus,pemasangan toilet ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,02/03/2025,,
558,02/03/2025,Internal,Iwan,Perbaikan mesin ,POULTRY,Mesin,Tamansari persada,,02/03/2025,,
561,03/03/2025,Internal,Irawan,perbaikan dudukan benang mesin jahit yang patah,POULTRY,Elektronik,Produksi Bandung,,,,
559,03/03/2025,Internal,Iyus,kencangkan mur kursi aset karena kendor dan mudah goyang khawatir copot atau patah,ASET,Infrastruktur,Tamansari persada,,03/03/2025,,
560,03/03/2025,Internal,Iwan,Penutupan lubang masuk tikus area pintu ciler,POULTRY,Infrastruktur,Produksi Ayam,,03/03/2025,,
563,03/03/2025,Internal,Iyus,pembuatan stok kontak ruang meeting di BRP,FINANCE,Instalasi Listrik,Kantor Finance BRP,,03/03/2025,,
562,03/03/2025,Internal,Irawan,Menganti oli stim diho,POULTRY,Mesin,Head Office,,,,
564,04/03/2025,Internal,Iyus,pengangkatan puing dan pengecoran lantai di ruang dapur RND,BUSDEV & RND,Infrastruktur,Tamansari persada,,04/03/2025,,
566,04/03/2025,Internal,Iwan,Memperbaiki troli yg patah,POULTRY,Infrastruktur,Head Office,,04/03/2025,,
568,04/03/2025,Internal,Iyus,pengukuran balkon lantai 2 yang akan di buat ruang arsip di office finance,FINANCE,Infrastruktur,Kantor Finance BRP,,04/03/2025,,
570,04/03/2025,Internal,Iyus,pemasangan appar di ruang tengah office TSP,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,04/03/2025,,
571,04/03/2025,Internal,Iyus,pemasangan appar di ruang dir'op,DIREKTUR,Infrastruktur,Tamansari persada,,04/03/2025,,
572,04/03/2025,Internal,Iyus,perbaikan kursi di ruang media,MEDIA,Infrastruktur,Tamansari persada,,04/03/2025,,
565,04/03/2025,Internal,Iwan,memperbaiki mesin steam,POULTRY,Mesin,Head Office,,04/03/2025,,
567,04/03/2025,Internal,Irawan,Perbaikan puli dimesin E DKASSET1032,WHEAT,Mesin,Gudang Cibeureum,,04/03/2025,,
574,05/03/2025,Internal,Irawan,memperbaiki jembtan besi d gudang cibereum,WHEAT,Infrastruktur,Gudang Cibeureum,,05/03/2025,,
640,05/03/2025,Internal,Iwan,lampu di depan office kantor HO mati.,POULTRY,Mesin,Head Office,,19/03/2025,,
576,06/03/2025,Internal,Irawan,Pemasangan bender himbauan digudang cibereum seblm dan sesudahh,WHEAT,Infrastruktur,Gudang Cibeureum,,06/03/2025,,
577,06/03/2025,Internal,Iyus,"penggantian benner ,lantai dua depan kemitraan",KEMITRAAN,Infrastruktur,kemitraan,,06/03/2025,,
579,06/03/2025,Internal,Iyus,pengukuran tembok dinding  di ruang dir'op,DIREKTUR,Infrastruktur,Tamansari persada,,06/03/2025,,
578,06/03/2025,Internal,Irawan,Perbaikan mesin yg D DKASSET 1035,POULTRY,Mesin,Gudang Cibeureum,,06/03/2025,,
580,06/03/2025,Internal,Irawan, perbaikan puli yg lepas dimesin E DKASSET 1032,POULTRY,Mesin,Gudang Cibeureum,,06/03/2025,,
585,07/03/2025,Internal,Iwan,timbangan besar merk sojikyo sudah selesai di perbaiki dan di elas kembali oleh teknisi,POULTRY,Elektronik,Kantor Finance BRP,,07/03/2025,,
582,07/03/2025,Internal,Iyus,melanjutkan pembuatan Ruang admin,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,07/03/2025,,
584,07/03/2025,Internal,Iyus,proses pemasangan GRC ruang admin,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,07/03/2025,,
583,07/03/2025,Internal,Iwan,Pemasangan hendel pintu ciler,POULTRY,Mesin,,,07/03/2025,,
586,08/03/2025,Internal,Iyus,perbaikan grc di ruang admin ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,08/03/2025,,
587,08/03/2025,Internal,Iwan,pemasangan lampu ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,09/03/2025,,
588,09/03/2025,Internal,Irawan,pengelasan gerbang ,POULTRY,Infrastruktur,Gudang Cibeureum,,09/03/2025,,
589,10/03/2025,Internal,Irawan,Bismilah perbaikan camstater dimesin yg 100 kilo yg G DKASSET 1031 seblm dan sesudah udah bisa dipake lagi,POULTRY,Mesin,Gudang Cibeureum,,10/03/2025,,
597,11/03/2025,Internal,Iyus,pembuatan skat ruang admin ,POULTRY,Infrastruktur,Tamansari persada,,12/03/2025,,
598,11/03/2025,Internal,Irawan,pomotongan drigen ,POULTRY,Infrastruktur,Head Office,,12/03/2025,,
600,11/03/2025,Internal,Iyus,pengukuran ruang stokis ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,12/03/2025,,
591,11/03/2025,Internal,Iwan,Perbaikan jalur listrik gudang 2vsekesai,POULTRY,Instalasi Listrik,Gudang Cibeureum,,11/03/2025,,
592,11/03/2025,Internal,Iwan,Perbaikan listrik  ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,11/03/2025,,
590,11/03/2025,Internal,Irawan,Perbaikan mesin jahit 2 unit dicibereum,POULTRY,Mesin,Gudang Cibeureum,,11/03/2025,,
593,11/03/2025,Internal,Irawan,perbaikan mesin steam ,POULTRY,Mesin,Head Office,,12/03/2025,,
594,11/03/2025,Internal,Iwan,perbaikan mesin steam ,POULTRY,Mesin,Head Office,,12/03/2025,,
595,11/03/2025,Internal,Iwan,perbaikan troli ,POULTRY,Mesin,Head Office,,12/03/2025,,
596,11/03/2025,Internal,Irawan,perbaikan troli ,POULTRY,Mesin,Head Office,,12/03/2025,,
599,11/03/2025,Internal,Irawan,perbaikan ac,POULTRY,Perbaikan AC,Head Office,,12/03/2025,,
601,12/03/2025,External,Vendor,perbaikan yang bocor  dikantor tsp ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,12/03/2025,,
602,12/03/2025,External,Vendor,perbaikan pembuangan di kamar mandi dirops,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,12/03/2025,,
603,12/03/2025,Internal,Irawan,pemasangan stiker line ,POULTRY,Infrastruktur,Gudang Cibeureum,,12/03/2025,,
604,12/03/2025,Internal,Iwan,pemasanga 4 banner ,POULTRY,Infrastruktur,Gudang Cibeureum,,12/03/2025,,
605,12/03/2025,Internal,Irawan,perbaikan gerbang ,POULTRY,Infrastruktur,Gudang Cibeureum,,12/03/2025,,
607,12/03/2025,Internal,Iyus,pelanjutan proses pembuatan ruang admin ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,12/03/2025,,
606,12/03/2025,Internal,Irawan,perbaikan mesin ,POULTRY,Mesin,Gudang Cibeureum,,12/03/2025,,
608,13/03/2025,Internal,Iyus,Bismillah melanjutkan pengomponan ruang admin,POULTRY,Infrastruktur,Tamansari persada,,13/03/2025,,
609,13/03/2025,Internal,Iwan,Pembuatan kran westapel produksi,POULTRY,Infrastruktur,Head Office,,13/03/2025,,
610,13/03/2025,Internal,Irawan,Penmbalan pencucian kaki  diporoduksi,POULTRY,Infrastruktur,Head Office,,13/03/2025,,
612,13/03/2025,Internal,Iwan,pemasangan handle pintu ,POULTRY,Infrastruktur,Gudang Cibeureum,,13/03/2025,,
613,13/03/2025,Internal,Iwan,perbaikan stopkeran ,POULTRY,Infrastruktur,Gudang Cibeureum,,13/03/2025,,
614,13/03/2025,Internal,Iyus,"Bismillah, pemasangan herbel lantai ruang admin",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,13/03/2025,,
611,13/03/2025,Internal,Irawan,Pengecekan dan perbaikan ac diproduksi yg mati total,POULTRY,Perbaikan AC,Head Office,,13/03/2025,,
617,14/03/2025,Internal,Irawan,Penamblan ulang bak  pencucian kaki diproduksi,POULTRY,Infrastruktur,Head Office,,14/03/2025,,
615,14/03/2025,Internal,Iyus,"Bismillah, pengecekan instalasi jalur AC di area TSP",GENERAL AFFAIR,Instalasi Listrik,Tamansari persada,,14/03/2025,,
616,14/03/2025,Internal,Iyus,"Bismillah, perbaikan instalasi jalur AC di ruang media sudah hidup kembali",GENERAL AFFAIR,Instalasi Listrik,Tamansari persada,,14/03/2025,,
619,14/03/2025,Internal,Iyus,"Bismillah, izin untuk memindah kan colokan Wi-Fi,  colokan akuarium di ruang tengah office TSP",GENERAL AFFAIR,Instalasi Listrik,Tamansari persada,,14/03/2025,,
618,14/03/2025,Internal,Irawan,Panasin mesin genset diho,POULTRY,Mesin,Head Office,,14/03/2025,,
620,15/03/2025,Internal,Irawan,Bismilah penambalan yg bocor digudang tepung,POULTRY,Infrastruktur,Gudang Cibeureum,,15/03/2025,,
621,15/03/2025,Internal,Irawan,Bismilah penambalan yg bocor produksi tepung,POULTRY,Infrastruktur,Gudang Cibeureum,,15/03/2025,,
623,16/03/2025,Internal,Iyus,"Bismillah, penambalan bocoran di area atas parkiran TSP",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,16/03/2025,,
624,16/03/2025,Internal,Iwan,Lanjut perapihan sampah area ofies ciberem,POULTRY,Infrastruktur,Gudang Cibeureum,,16/03/2025,,
625,16/03/2025,Internal,Iwan,Membuang sampah dan membakar sampah,POULTRY,Infrastruktur,Gudang Cibeureum,,16/03/2025,,
622,16/03/2025,Internal,Iwan,Pemasangan MCB baru,POULTRY,Instalasi Listrik,Gudang Cibeureum,,16/03/2025,,
626,16/03/2025,Internal,Iyus,"Bismillah, proses penarikan instalasi jalur listrik untuk ruang admin",GENERAL AFFAIR,Instalasi Listrik,Tamansari persada,,16/03/2025,,
627,16/03/2025,Internal,Iyus,"Bismillah, proses perbaikan mesin jahit tumpung",POULTRY,Mesin,Gudang Cibeureum,,16/03/2025,,
628,17/03/2025,Internal,Iyus,"Bismillah, melanjutkan pengerjaan ruang admin",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,17/03/2025,,
629,17/03/2025,Internal,Iwan,Membersihkan pasir didepan pendopo diho,POULTRY,Infrastruktur,Head Office,,17/03/2025,,
630,17/03/2025,Internal,Iyus,"Bismillah, proses pemasangan rumah kunci",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,17/03/2025,,
631,17/03/2025,Internal,Iyus,"Bismillah, penutupan jendela ruang H'U/ruang admin sebelum proses dan sesudah",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,17/03/2025,,
632,17/03/2025,Internal,Iyus,Bismillah proses perbaikan talang air di samping ruang dir'op,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,17/03/2025,,
633,17/03/2025,Internal,Irawan,Lanjut perbaikan dan pengantian puli bawah dimesinA DKSSET1033,POULTRY,Mesin,Gudang Cibeureum,,17/03/2025,,
634,17/03/2025,Internal,Iyus,"Bismillah, pengecekan AC di kemitraan yang bocor",KEMITRAAN,Perbaikan AC,Tamansari persada,,17/03/2025,,
636,18/03/2025,Internal,Iyus,pembersiham area depan ruang admin yang baru ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,18/03/2025,,
635,18/03/2025,Internal,Iyus,pemasangan instalasi jalur lampu dan stop kontak,GENERAL AFFAIR,Instalasi Listrik,Tamansari persada,,18/03/2025,,
637,18/03/2025,Internal,Iwan,memanaskan genset ,POULTRY,Mesin,Head Office,,18/03/2025,,
639,18/03/2025,Internal,Iwan,Perbaikan mesin setim,POULTRY,Mesin,Head Office,,18/03/2025,,
638,18/03/2025,Internal,Iwan,pengecekan AC di area produksi HO,POULTRY,Perbaikan AC,Head Office,,18/03/2025,,
641,19/03/2025,Internal,Iyus,plesteran lantai ruang admin ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,19/03/2025,,
665,19/03/2025,Internal,Iwan,Pemasangan kotak obat,POULTRY,Infrastruktur,Head Office,,24/03/2025,,
661,19/03/2025,Internal,Iwan,pemasangan kotak p3k,POULTRY,Mesin,Gudang Cibeureum,,24/03/2025,,
642,20/03/2025,Internal,Irawan,Perbaikan pipa air digudang cibereum,POULTRY,Infrastruktur,Gudang Cibeureum,,20/03/2025,,
643,20/03/2025,Internal,Iyus,"Bismillah, proses pengacian lantai ruang admin",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,20/03/2025,,
644,20/03/2025,Internal,Iwan,pengecekan listrik di ruang produksi ,POULTRY,Instalasi Listrik,Gudang Cibeureum,,20/03/2025,,
645,21/03/2025,Internal,Iwan,Perbaikan pipa air Sanyo gudang ciberem,POULTRY,Infrastruktur,Gudang Cibeureum,,21/03/2025,,
646,21/03/2025,Internal,Irawan,Pengelasan troli diho,POULTRY,Infrastruktur,Head Office,,21/03/2025,,
647,21/03/2025,Internal,Iyus,"Bismillah, proses pemasangan tirai dan benner di area parkiran KR2 di TSP",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,21/03/2025,,
648,21/03/2025,Internal,Irawan, ,POULTRY,Infrastruktur,Gudang Cibeureum,,21/03/2025,,
649,21/03/2025,Internal,Iyus, perapihan benner dan terpal  di area parkiran sebelum proses dan sesudah/selesai,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,21/03/2025,,
650,22/03/2025,Internal,Iwan,Beresin sampal yg mau d buang kemitraan lama,KEMITRAAN,Infrastruktur,Head Office,,22/03/2025,,
651,22/03/2025,Internal,Iwan,membantu pindahan ke ciberum ,POULTRY,Infrastruktur,Gudang Cibeureum,,22/03/2025,,
652,22/03/2025,Internal,Iyus,"Bismillah, proses pengecatan ruang admin",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,22/03/2025,,
653,22/03/2025,Internal,Iyus,Kang egi sedang membantu pindahan di tsp ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,22/03/2025,,
654,23/03/2025,Internal,Irawan,Lampu udah nyla kembali karenakn mcb kilo meter nya turunn,POULTRY,Instalasi Listrik,Gudang Cibeureum,,23/03/2025,,
657,24/03/2025,Internal,Iwan,Perbaikan mesin jahit,POULTRY,Elektronik,Gudang Cibeureum,,24/03/2025,,
659,24/03/2025,Internal,Iyus,perbaikan mesin jahit karung di Cibereum,POULTRY,Elektronik,Gudang Cibeureum,,24/03/2025,,
662,24/03/2025,Internal,Iyus,perbaikan mesin jahit karung di Cibereum,POULTRY,Elektronik,Gudang Cibeureum,,24/03/2025,,
664,24/03/2025,Internal,Iwan,Pemasangan plat moto,GENERAL AFFAIR,Infrastruktur,Head Office,,24/03/2025,,
656,24/03/2025,Internal,Iwan,Perbaikan 3 unit terminal mesin timbangan tepung,POULTRY,Instalasi Listrik,Gudang Cibeureum,,24/03/2025,,
663,24/03/2025,Internal,fahmi,Membantu pindahan dan memindahkan Terminal colokan dari ruang HRD lama ke ruang HRD baru,HRD,Instalasi Listrik,Tamansari persada,,24/03/2025,,
655,24/03/2025,Internal,Iwan,Memperbaiki mesin tepung A,POULTRY,Mesin,Gudang Cibeureum,,24/03/2025,,
658,24/03/2025,Internal,Iwan,Lanjut perbaikan mesin tepung E,POULTRY,Mesin,Gudang Cibeureum,,24/03/2025,,
660,24/03/2025,Internal,Iwan,Lanjut perbaikan mesin F,POULTRY,Mesin,Gudang Cibeureum,,24/03/2025,,
666,25/03/2025,Internal,fahmi,perakitan rak sepatu ,DIREKTUR,Infrastruktur,Tamansari persada,,25/03/2025,,
667,25/03/2025,Internal,Iyus,Pemasangan kotak p3k,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,25/03/2025,,
668,25/03/2025,Internal,Iwan,Perbaikan gerbang utama ciberem,POULTRY,Infrastruktur,Gudang Cibeureum,,25/03/2025,,
669,25/03/2025,Internal,Iwan,Perbaikan pintu ciler,POULTRY,Infrastruktur,Gudang Cibeureum,,25/03/2025,,
670,25/03/2025,Internal,Irawan,Pegantian lampu diruangan pak alfian diho 2 pcs selesai,POULTRY,Instalasi Listrik,Head Office,,25/03/2025,,
671,25/03/2025,Internal,Iyus,peminisingan ruang admin selesai.,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,25/03/2025,,
672,25/03/2025,Internal,Irawan,Perbaikan dan pengantian steker ac diruangan pak alfian selesai dan udah nyla kembali,POULTRY,Perbaikan AC,Head Office,,25/03/2025,,
673,25/03/2025,Internal,Iwan,Memperbaiki kursi yng patah tim. Produksi,POULTRY,Infrastruktur,Head Office,,25/03/2025,,
674,25/03/2025,Internal,Iwan,membongkar partisi di kantor ho ,POULTRY,Infrastruktur,Head Office,,26/03/2025,,
675,25/03/2025,Internal,Irawan,membongkar partisi di kantor ho ,POULTRY,Infrastruktur,Head Office,,26/03/2025,,
676,26/03/2025,Internal,Iyus,perbaikan intalasi listrik ,FINANCE,Instalasi Listrik,Kantor Finance BRP,,26/03/2025,,
677,26/03/2025,Internal,Irawan,perbaikan toren ,POULTRY,Infrastruktur,Gudang Cibeureum,,26/03/2025,,
678,25/03/2025,Internal,Tim OB dan CS,pembuangan puing ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,26/03/2025,,
679,23/03/2025,External,vendor ,"Freezer stokis babelan tidak dingin indikator suhunya di angka31°c, setelah di bersihkan masih tidak dingin dan keluar uap dari dalam freezer",STOKIS,Elektronik,Stokis Luar kota ,,25/03/2025,,
680,26/03/2025,Internal,Iyus, pencopotan rumah kunci di ruang legal & audit sebelum proses dan sesudah selesai,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,26/03/2025,,
681,26/03/2025,Internal,Iyus,pemasangan slot gembok untuk lemari ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,26/03/2025,,
682,26/03/2025,Internal,Iwan,perbaikan mesin A,POULTRY,Mesin,Gudang Cibeureum,,26/03/2025,,
683,26/03/2025,Internal,Irawan,Perbaikan mesinyg A DKASSET 1033,POULTRY,Mesin,Gudang Cibeureum,,26/03/2025,,
684,27/03/2025,Internal,Iyus," penggantian kran air di kamar mandi office finance BRP, sebelum proses dan sesudah/selesa",FINANCE,Infrastruktur,Kantor Finance BRP,,27/03/2025,,
685,27/03/2025,Internal,Iwan, perbaikan jln digudamg cibereum,POULTRY,Infrastruktur,Gudang Cibeureum,,27/03/2025,,
686,27/03/2025,Internal,Irawan,Mengnti lampu yg putus digudang kering cibereum 1 pcs 18 watt,POULTRY,Instalasi Listrik,Gudang Cibeureum,,27/03/2025,,
687,28/03/2025,Internal,Irawan,perbaikan mesin steam ,POULTRY,Mesin,Head Office,,28/03/2025,,
689,28/03/2025,Internal,Iyus,permanasan genset ,POULTRY,Mesin,Gudang Cibeureum,,28/03/2025,,
690,28/03/2025,Internal,Irawan,perbaikan mesin jahit ,POULTRY,Mesin,Head Office,,28/03/2025,,
691,28/03/2025,Internal,Iyus,perbaikan toilet ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/03/2025,,
692,28/03/2025,Internal,Iwan,pengecekan dan pengukuran ,POULTRY,Infrastruktur,Head Office,,28/03/2025,,
693,28/03/2025,Internal,Iwan,perbaikan dril ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/03/2025,,
694,28/03/2025,Internal,Iwan,perbaikan dril ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/03/2025,,
695,28/03/2025,Internal,Iwan,perbaikan dril ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/03/2025,,
691,28/03/2025,Internal,Iyus,pembersihan solokan ,POULTRY,Infrastruktur,Gudang Cibeureum,,28/03/2025,,
692,02/04/2025,Internal,Iwan,pengawasan proyek ,POULTRY,Infrastruktur,Head Office,,02/04/2025,,
693,03/04/2025,Internal,Iwan,pengawasan proyek ,POULTRY,Infrastruktur,Head Office,,03/04/2025,,
694,04/04/2025,Internal,Iwan,pengawasan proyek ,POULTRY,Infrastruktur,Head Office,,04/04/2025,,
695,05/04/2025,Internal,Iwan,pengawasan proyek ,POULTRY,Infrastruktur,Head Office,,05/04/2025,,
696,06/04/2025,Internal,Iwan,pengawasan perbaikan mesin blas,POULTRY,Infrastruktur,Head Office,,06/04/2025,,
697,08/04/2025,Internal,Iwan,pengukuran bersama vendor ,POULTRY,Infrastruktur,Head Office,,08/04/2025,,
698,08/04/2025,Internal,Irawan,perbaikan ac,POULTRY,Infrastruktur,Head Office,,08/04/2025,,
699,08/04/2025,Internal,Iyus,pemasangan ruter dan penarikan jalur listrik ,GENERAL AFFAIR,Instalasi Listrik,Tamansari persada,,08/04/2025,,
700,08/04/2025,Internal,Iyus,pemasangan rumah kunci ,GENERAL AFFAIR,Infrastruktur,Tamansari persada,,08/04/2025,,
701,08/04/2025,Internal,Iyus,pengecekan jalur panel ,FINANCE,Instalasi Listrik,Kantor Finance BRP,,08/04/2025,,
702,09/04/2025,Internal,Iyus,pembuatan ruangan skat di brp,FINANCE,Infrastruktur,Kantor Finance BRP,,09/04/2025,,
703,09/04/2025,Internal,Iwan,pengecetan kusen yang rusak ,GENERAL AFFAIR,Infrastruktur,Gudang Cibeureum,,09/04/2025,,
704,09/04/2025,Internal,Iwan,pencabutan jendela,POULTRY,Infrastruktur,Head Office,,09/04/2025,,
705,10/04/2025,Internal,Irawan,pemansan genset ,POULTRY,Infrastruktur,Head Office,,10/04/2025,,
706,10/04/2025,Internal,Iyus,pengecekan panel ,POULTRY,Instalasi Listrik,Head Office,,10/04/2025,,
707,10/04/2025,Internal,Iyus,pembuatan ruangan skat di brp,FINANCE,Infrastruktur,Kantor Finance BRP,,10/04/2025,,
708,10/04/2025,Internal,Irawan,pergantian kipas,GENERAL AFFAIR,Infrastruktur,Gudang Cibeureum,,10/04/2025,,
709,11/04/2025,Internal,Iwan,perbaikan mesin jahit,POULTRY,Mesin,Head Office,,11/04/2025,,
710,11/04/2025,Internal,Iyus,pembuatan ruangan skat di brp,FINANCE,Infrastruktur,Kantor Finance BRP,,11/04/2025,,
711,11/04/2025,Internal,Iwan,perbaikan colokan ,POULTRY,Instalasi Listrik,Head Office,,11/04/2025,,
712,11/04/2025,Internal,Iwan,perbaikan intalasi listrilk,POULTRY,Mesin,Head Office,,11/04/2025,,
713,12/04/2025,Internal,Iyus,Pemasangan terminal untuk ruang legal,GENERAL AFFAIR,Instalasi Listrik,Kantor Finance BRP,,12/04/2025,,
714,12/04/2025,Internal,Iwan,Pembuatan meja buat layar cctv,POULTRY,Infrastruktur,Head Office,,12/04/2025,,
715,12/04/2025,Internal,Iyus,Izin report perbaikan kipas angin oleh kang egi di stokis ciomas,STOKIS,Mesin,Stokis Luar kota ,,12/04/2025,,
716,12/04/2025,Internal,Iwan,Pengecekan mesin thamler yg kendala,POULTRY,Mesin,Head Office,,12/04/2025,,
717,13/04/2025,Internal,Irawan,Izin report pak untuk pengerjaan  drainase di eksekusi oleh pak iwan dan juga pak irawan ,POULTRY,Infrastruktur,Head Office,,13/04/2025,,
718,13/04/2025,Internal,Iwan,Izin report pak untuk pengerjaan  drainase di eksekusi oleh pak iwan dan juga pak irawan ,POULTRY,Infrastruktur,Head Office,,13/04/2025,,
719,13/04/2025,Internal,Iwan,mpo panel mesin thamler tuba tiba mati sedang dalam proses perbaikan,POULTRY,Mesin,Head Office,,13/04/2025,,
720,14/04/2025,Internal,Iyus,"Bismillah,perapihan stopkontak diruang H'U Meja pak Paris, sebelum proses dan sesudah/selesai.",GENERAL AFFAIR,Instalasi Listrik,Kantor Finance BRP,,14/04/2025,,
721,14/04/2025,Internal,Iwan,Pemasangan cantel gembok gudang bumbu area parkir,GENERAL AFFAIR,Infrastruktur,Head Office,,14/04/2025,,
722,14/04/2025,Internal,Irawan,pembuatan skat ,FINANCE,Infrastruktur,Kantor Finance BRP,,14/04/2025,,
723,14/04/2025,Internal,Irawan,Memperbaiki cctv diruangan mesin diho,POULTRY,Infrastruktur,Head Office,,14/04/2025,,
724,14/04/2025,Internal,Iwan,Pembongkaran talang dan perapihan talang d office ciberem,POULTRY,Infrastruktur,Gudang Cibeureum,,14/04/2025,,
725,14/04/2025,Internal,Irawan,Penutupan samping area office ciberem,POULTRY,Infrastruktur,Gudang Cibeureum,,14/04/2025,,
726,15/04/2025,Internal,Iwan,Perbaikan mesin tepung F,POULTRY,Infrastruktur,Gudang Cibeureum,,15/04/2025,,
727,15/04/2025,Internal,Iyus,", melanjutkan pembuatan skatan ruang arsip",GENERAL AFFAIR,Infrastruktur,Kantor Finance BRP,,15/04/2025,,
728,15/04/2025,Internal,Iwan,Lanjut perbaikan mesin A,POULTRY,Mesin,Gudang Cibeureum,,15/04/2025,,
729,15/04/2025,Internal,Iyus,", pengecekan breket stending tv div, Iven. Karena roda baut sudah selek/doll solusi nya harus di lass.",GENERAL AFFAIR,Infrastruktur,Tamansari persada,,15/04/2025,,
730,15/04/2025,Internal,Iwan,Pembongkaran rak besi yang sempat tertunda karna perbaikan mesin,GENERAL AFFAIR,Infrastruktur,Head Office,,15/04/2025,,